Name;Group;Indication
bortezomib;Antineoplastic agents;Bortezomib SUN as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib SUN in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib SUN in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib SUN in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.
omaveloxolone;Other nervous system drugs;The treatment of Friedreich’s ataxia in adults and adolescents aged 16 years and older.
"abacavir;dolutegravir;lamivudine";Antivirals for systemic use;"Triumeq is indicated for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infected children of at least 3 months of age weighing at least 6 kg to less than 25 kg (see sections 4.4 and 5.1).&nbsp;Before initiating treatment with abacavir-containing products, screening for carriage of the HLA-B*5701 allele should be performed in any HIV-infected patient, irrespective of racial origin (see section 4.4). Abacavir should not be used in patients known to carry the HLA-B*5701 allele. Triumeq is indicated for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infected adults, adolescents and children weighing at least 25 kg (see sections 4.4 and 5.1). Before initiating treatment with abacavir-containing products, screening for carriage of the HLA-B*5701 allele should be performed in any HIV-infected patient, irrespective of racial origin (see section 4.4). Abacavir should not be used in patients known to carry the HLA-B*5701 allele."
enzalutamide;Endocrine therapy;"Enzalutamide Viatris is indicated:• as monotherapy or in combination with androgen deprivation therapy for the treatment of adult men with high-risk biochemical recurrent (BCR) non-metastatic hormone-sensitive prostate cancer (nmHSPC) who are unsuitable for salvage-radiotherapy (see section 5.1);• in combination with androgen deprivation therapy for the treatment of adult men with metastatic hormone-sensitive prostate cancer (mHSPC) (see section 5.1);&nbsp;• for the treatment of adult men with high-risk non-metastatic castration-resistant prostate cancer (CRPC) (see section 5.1);• for the treatment of adult men with metastatic CRPC who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated (see section 5.1);• for the treatment of adult men with metastatic CRPC whose disease has progressed on or after docetaxel therapy."
sodium zirconium cyclosilicate;All other therapeutic products;Lokelma is indicated for the treatment of hyperkalaemia in adult patients.
exagamglogene autotemcel;Other hematological agents;β thalassemia Casgevy is indicated for the treatment of transfusion dependent β thalassemia (TDT) in patients 12 years of age and older for whom haematopoietic stem cell (HSC) transplantation is appropriate and a human leukocyte antigen (HLA) matched related HSC donor is not available. Sickle cell disease Casgevy is indicated for the treatment of severe sickle cell disease (SCD) in patients 12 years of age and older with recurrent vaso occlusive crises (VOCs) for whom haematopoietic stem cell (HSC) transplantation is appropriate and a human leukocyte antigen (HLA) matched related HSC donor is not available.
regadenoson;Cardiac therapy;This medicinal product is for diagnostic use only. Rapiscan is a selective coronary vasodilator for use as a pharmacological stress agent for radionuclide myocardial perfusion imaging (MPI) in adult patients unable to undergo adequate exercise stress.
mirikizumab;Immunosuppressants;Omvoh is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic treatment.
lenacapavir;Antivirals for systemic use;"Yeytuo tablet is indicated in combination with safer sex practices for pre-exposure prophylaxis (PrEP) to reduce the risk of sexually acquired HIV-1 infection in adults and adolescents with increased HIV 1 acquisition risk, weighing at least 35 kg for:•&nbsp;&nbsp;oral loading•&nbsp;&nbsp;oral bridging(see sections 4.2, 4.4 and 5.1)&nbsp;"
bortezomib;Antineoplastic agents;Bortezomib Accord as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib Accord in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high?dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Accord in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high?dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Accord in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.
bortezomib;Other antineoplastic agents;Bortezomib Hospira as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib Hospira in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.
bulevirtide;Antivirals for systemic use;Hepcludex is indicated for the treatment of chronic hepatitis delta virus (HDV) infection in plasma (or serum) HDV-RNA positive adult and paediatric patients 3 years of age and older weighing at least 10 kg with compensated liver disease.
efbemalenograstim alfa;Immunostimulants;Ryzneuta is indicated for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).
